name|race
Abyssal|Demons, Chaotic evil outsiders
Aklo|Derros, Inhuman or otherworldly monsters, Evil fey
Aquan|Aquatic creatures, Water-based creatures
Auran|Flying creatures, Air-based creatures
Celestial|Angels, Good outsiders
Common|Humans, Core races
Cyclops|Cyclops
Draconic|Dragons, Reptilian humanoids
Druidic|Druids
Drow Sign Language|Drow
Dwarven|Dwarves
Elven|Elves, Half-elves
Giant|Cyclopses, Ettins, Giants, Ogres, Trolls
Gnome|Gnomes
Goblin|Bugbears, Goblins, Hobgoblins
Gnoll|Gnolls
Grippli|Grippli
Halfling|Halflings
Ignan|Fire-based creatures
Infernal|Devils, Lawful evil outsiders
Orc|Orcs, Half-orcs
Protean|Chaos Spawn
Sphinx|Sphinx
Sylvan|Centaurs, Fey creatures, Plant creatures, Unicorns
Tengu|Tengu
Terran|Earth-based creatures
Undercommon|Drow, Duergar, Morlocks, Svirfneblin
Wayang|Wayang
